CODIGO_PRODUTO;Complemento;DESCRICAO_PRODUTO;CODIGO_COMPONENTE;Complemento_Componente;DESCRICAO_COMPONENTE
100150160020;   ;BICICLETA ARO 12 CECIZINHA 2023 ;504010130025;   ;TINTA EM PO LILAS - BANDEIRANTES 
100150160021;   ;BICICLETA ARO 12 POWER REX 2023 ;206010180001;0001  ;PINTURA GARFO DIANTEIRO ARO 12 PRETO 
100150160021;   ;BICICLETA ARO 12 POWER REX 2023 ;206010180002;0001  ;PINTURA GUIDAO ARO 12 PRETO 
100150160021;   ;BICICLETA ARO 12 POWER REX 2023 ;206010180009;0001  ;PINTURA QUADRO ARO 12 MOD02 PRETO 
100150160021;   ;BICICLETA ARO 12 POWER REX 2023 ;304510180003;0002  ;PINTURA PEDIVELA BRANCO 
100150160021;   ;BICICLETA ARO 12 POWER REX 2023 ;504010130001;   ;TINTA EM PO BRANCA 
100150160021;   ;BICICLETA ARO 12 POWER REX 2023 ;504010130007;   ;TINTA EM PO PRETA 
100160160007;0001  ;BICICLETA ARO 14 FIRST PRO MASCULINA 3 ;206030180000;0016  ;PINTURA GARFO DIANTEIRO ARO 14 CINZA 
100160160007;0001  ;BICICLETA ARO 14 FIRST PRO MASCULINA 3 ;206030180001;0016  ;PINTURA GUIDAO ARO 14 CINZA 
100160160007;0001  ;BICICLETA ARO 14 FIRST PRO MASCULINA 3 ;206030180002;0041  ;PINTURA QUADRO ARO 14 GRAFITE 
100160160007;0001  ;BICICLETA ARO 14 FIRST PRO MASCULINA 3 ;207010180005;0001  ;PINTURA TAMPA DA MESA PRETO 
100160160007;0001  ;BICICLETA ARO 14 FIRST PRO MASCULINA 3 ;207010180013;0001  ;PINTURA CANOTE DO SELIM PRETO 
100160160007;0001  ;BICICLETA ARO 14 FIRST PRO MASCULINA 3 ;504010130007;   ;TINTA EM PO PRETA 
100160160007;0001  ;BICICLETA ARO 14 FIRST PRO MASCULINA 3 ;504010130021;   ;TINTA EM PO GRAFITE METALICO FOSCO 
100160160007;0001  ;BICICLETA ARO 14 FIRST PRO MASCULINA 3 ;504010130071;   ;TINTA EM PO CINZA 
100160160007;0001  ;BICICLETA ARO 14 FIRST PRO MASCULINA 3 ;504010130074;   ;TINTA EM PO PRETO W-ECO  
100160160008;0002  ;BICICLETA ARO 14 FIRST PRO FEMININA 4 ;206030180000;0016  ;PINTURA GARFO DIANTEIRO ARO 14 CINZA 
100160160008;0002  ;BICICLETA ARO 14 FIRST PRO FEMININA 4 ;206030180001;0016  ;PINTURA GUIDAO ARO 14 CINZA 
100160160008;0002  ;BICICLETA ARO 14 FIRST PRO FEMININA 4 ;206030180002;0027  ;PINTURA QUADRO ARO 14 ROSA CLARO 
100160160008;0002  ;BICICLETA ARO 14 FIRST PRO FEMININA 4 ;207010180005;0001  ;PINTURA TAMPA DA MESA PRETO 
100160160008;0002  ;BICICLETA ARO 14 FIRST PRO FEMININA 4 ;207010180013;0001  ;PINTURA CANOTE DO SELIM PRETO 
100160160008;0002  ;BICICLETA ARO 14 FIRST PRO FEMININA 4 ;504010130007;   ;TINTA EM PO PRETA 
100160160008;0002  ;BICICLETA ARO 14 FIRST PRO FEMININA 4 ;504010130015;   ;TINTA EM PO ROSA CLARO 
100160160008;0002  ;BICICLETA ARO 14 FIRST PRO FEMININA 4 ;504010130071;   ;TINTA EM PO CINZA 
100160160008;0002  ;BICICLETA ARO 14 FIRST PRO FEMININA 4 ;504010130074;   ;TINTA EM PO PRETO W-ECO  
100160160009;   ;BICICLETA ARO 14 FIRST PRO MASCULINA 4 ;206030180000;0016  ;PINTURA GARFO DIANTEIRO ARO 14 CINZA 
100160160009;   ;BICICLETA ARO 14 FIRST PRO MASCULINA 4 ;206030180001;0016  ;PINTURA GUIDAO ARO 14 CINZA 
100160160009;   ;BICICLETA ARO 14 FIRST PRO MASCULINA 4 ;206030180002;0041  ;PINTURA QUADRO ARO 14 GRAFITE 
100160160009;   ;BICICLETA ARO 14 FIRST PRO MASCULINA 4 ;207010180005;0001  ;PINTURA TAMPA DA MESA PRETO 
100160160009;   ;BICICLETA ARO 14 FIRST PRO MASCULINA 4 ;207010180013;0001  ;PINTURA CANOTE DO SELIM PRETO 
100160160009;   ;BICICLETA ARO 14 FIRST PRO MASCULINA 4 ;504010130007;   ;TINTA EM PO PRETA 
